ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
1150800936826792,227921413746195,"Roberto Cláudio Bezerra",2025-04-01,2025-04-01,,"Roberto Cláudio Bezerra","🚨 Mais impostos, menos poder de compra! 🚨

Enquanto a renda do Ceará despenca, o governo aumenta o ICMS sobre compras internacionais como Shopee e Shein. Resultado? Tudo mais caro!

Fortaleza já tem a cesta básica mais cara do Brasil. Com o PT, o Ceará fica mais pobre e mais caro. Até quando?",,www.instagram.com,,"lower_bound: 25000, upper_bound: 29999","lower_bound: 100, upper_bound: 199",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.031152},{""age"":""45-54"",""gender"":""male"",""percentage"":0.168771},{""age"":""65+"",""gender"":""male"",""percentage"":0.061535},{""age"":""65+"",""gender"":""female"",""percentage"":0.073645},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000214},{""age"":""55-64"",""gender"":""male"",""percentage"":0.111173},{""age"":""55-64"",""gender"":""female"",""percentage"":0.084086},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000342},{""age"":""45-54"",""gender"":""female"",""percentage"":0.061962},{""age"":""18-24"",""gender"":""male"",""percentage"":0.029441},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000556},{""age"":""35-44"",""gender"":""male"",""percentage"":0.180496},{""age"":""35-44"",""gender"":""female"",""percentage"":0.051949},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000342},{""age"":""25-34"",""gender"":""male"",""percentage"":0.099876},{""age"":""25-34"",""gender"":""female"",""percentage"":0.044204},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000171},{""age"":""65+"",""gender"":""unknown"",""percentage"":8.6e-5}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",
1098454888986142,227921413746195,"Roberto Cláudio Bezerra",2025-03-31,2025-03-31,2025-04-01,"Roberto Cláudio Bezerra","🚨 Mais impostos, menos poder de compra! 🚨

Enquanto a renda do Ceará despenca, o governo aumenta o ICMS sobre compras internacionais como Shopee e Shein. Resultado? Tudo mais caro!

Fortaleza já tem a cesta básica mais cara do Brasil. Com o PT, o Ceará fica mais pobre e mais caro. Até quando?",,www.instagram.com,,"lower_bound: 5000, upper_bound: 5999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.054797},{""age"":""18-24"",""gender"":""male"",""percentage"":0.059468},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000359},{""age"":""25-34"",""gender"":""female"",""percentage"":0.080668},{""age"":""25-34"",""gender"":""male"",""percentage"":0.109235},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000359},{""age"":""35-44"",""gender"":""female"",""percentage"":0.083363},{""age"":""35-44"",""gender"":""male"",""percentage"":0.141035},{""age"":""45-54"",""gender"":""female"",""percentage"":0.095041},{""age"":""45-54"",""gender"":""male"",""percentage"":0.100072},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000359},{""age"":""55-64"",""gender"":""female"",""percentage"":0.104384},{""age"":""55-64"",""gender"":""male"",""percentage"":0.068092},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000359},{""age"":""65+"",""gender"":""female"",""percentage"":0.07438},{""age"":""65+"",""gender"":""male"",""percentage"":0.028027}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",
1738273087044213,227921413746195,"Roberto Cláudio Bezerra",2025-03-31,2025-03-31,,"Roberto Cláudio Bezerra","🚨 Mais impostos, menos poder de compra! 🚨

Enquanto a renda do Ceará despenca, o governo aumenta o ICMS sobre compras internacionais como Shopee e Shein. Resultado? Tudo mais caro!

Fortaleza já tem a cesta básica mais cara do Brasil. Com o PT, o Ceará fica mais pobre e mais caro. Até quando?",,www.instagram.com,,"lower_bound: 7000, upper_bound: 7999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.041287},{""age"":""45-54"",""gender"":""female"",""percentage"":0.05953},{""age"":""65+"",""gender"":""female"",""percentage"":0.052968},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.00016},{""age"":""55-64"",""gender"":""male"",""percentage"":0.046247},{""age"":""55-64"",""gender"":""female"",""percentage"":0.069451},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.00032},{""age"":""45-54"",""gender"":""male"",""percentage"":0.091855},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.0008},{""age"":""18-24"",""gender"":""male"",""percentage"":0.131061},{""age"":""35-44"",""gender"":""male"",""percentage"":0.157785},{""age"":""35-44"",""gender"":""female"",""percentage"":0.066091},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.0008},{""age"":""25-34"",""gender"":""male"",""percentage"":0.196831},{""age"":""25-34"",""gender"":""female"",""percentage"":0.06337},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.00096},{""age"":""65+"",""gender"":""male"",""percentage"":0.020483}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",
898024469020077,227921413746195,"Roberto Cláudio Bezerra",2025-03-30,2025-03-30,2025-03-31,"Roberto Cláudio Bezerra","Domingo de malhação pra manter a saúde em dia! 🙏🏽💪🏽

E vocês aí, treinaram hoje ou estão descansando?","Roberto Cláudio (@robertoclaudiooficial) • Instagram photos and videos",instagram.com,"255K Followers, 777 Following, 4,430 Posts - See Instagram photos and videos from Roberto Cláudio (@robertoclaudiooficial)","lower_bound: 6000, upper_bound: 6999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.057988},{""age"":""18-24"",""gender"":""male"",""percentage"":0.137616},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000676},{""age"":""25-34"",""gender"":""female"",""percentage"":0.108707},{""age"":""25-34"",""gender"":""male"",""percentage"":0.216399},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000845},{""age"":""35-44"",""gender"":""female"",""percentage"":0.086391},{""age"":""35-44"",""gender"":""male"",""percentage"":0.126627},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000169},{""age"":""45-54"",""gender"":""female"",""percentage"":0.075063},{""age"":""45-54"",""gender"":""male"",""percentage"":0.058664},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000338},{""age"":""55-64"",""gender"":""female"",""percentage"":0.056636},{""age"":""55-64"",""gender"":""male"",""percentage"":0.029248},{""age"":""65+"",""gender"":""female"",""percentage"":0.03415},{""age"":""65+"",""gender"":""male"",""percentage"":0.010482}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
1218596603149794,227921413746195,"Roberto Cláudio Bezerra",2025-03-28,2025-03-28,2025-04-01,"Roberto Cláudio Bezerra","No Ceará, o que não para são as filas de cirurgias, os preços altos, a pobreza crescente e as obras abandonadas. 

Não para de aumentar a violência, as promessas não cumpridas e os privilégios para os amigos do poder. Enquanto isso, o governo segue vendendo ilusões com slogans vazios. 

Mas o que também não para de cair é a confiança do povo, que já cansou de tanta propaganda e tão pouca entrega!

#ceará #oquerealmentenaopara #naopara #estadodoceara",,www.instagram.com,,"lower_bound: 70000, upper_bound: 79999","lower_bound: 400, upper_bound: 499",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.016819},{""age"":""45-54"",""gender"":""male"",""percentage"":0.121361},{""age"":""65+"",""gender"":""male"",""percentage"":0.06168},{""age"":""65+"",""gender"":""female"",""percentage"":0.098781},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000133},{""age"":""55-64"",""gender"":""male"",""percentage"":0.095084},{""age"":""55-64"",""gender"":""female"",""percentage"":0.074769},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.0002},{""age"":""45-54"",""gender"":""female"",""percentage"":0.051006},{""age"":""18-24"",""gender"":""male"",""percentage"":0.069956},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.0005},{""age"":""35-44"",""gender"":""male"",""percentage"":0.171568},{""age"":""35-44"",""gender"":""female"",""percentage"":0.042613},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000599},{""age"":""25-34"",""gender"":""male"",""percentage"":0.166106},{""age"":""25-34"",""gender"":""female"",""percentage"":0.028109},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000633},{""age"":""65+"",""gender"":""unknown"",""percentage"":8.3e-5}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
1171078451345920,227921413746195,"Roberto Cláudio Bezerra",2025-03-18,2025-03-18,,"Roberto Cláudio Bezerra","O Hospital César Cals não pode fechar! ❌🏥

Seguimos mobilizados contra o fechamento deste hospital de referência, que atende todo o Ceará e tem um papel fundamental na saúde pública. Hoje, estivemos reunidos com médicos e lideranças para cobrar transparência do governo.

A população merece mais saúde, não menos! O Ceará precisa de mais leitos e atendimento de qualidade!

#Césarcarlsfica #Saúdeeprioridade #maisleitosmaissaude aúde",,www.instagram.com,,"lower_bound: 150000, upper_bound: 174999","lower_bound: 600, upper_bound: 699",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.072613},{""age"":""45-54"",""gender"":""male"",""percentage"":0.107758},{""age"":""65+"",""gender"":""male"",""percentage"":0.055272},{""age"":""65+"",""gender"":""female"",""percentage"":0.097246},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000161},{""age"":""55-64"",""gender"":""male"",""percentage"":0.088235},{""age"":""55-64"",""gender"":""female"",""percentage"":0.117968},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000198},{""age"":""45-54"",""gender"":""female"",""percentage"":0.089945},{""age"":""18-24"",""gender"":""male"",""percentage"":0.07318},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000264},{""age"":""35-44"",""gender"":""male"",""percentage"":0.104254},{""age"":""35-44"",""gender"":""female"",""percentage"":0.053081},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000321},{""age"":""25-34"",""gender"":""male"",""percentage"":0.085137},{""age"":""25-34"",""gender"":""female"",""percentage"":0.053846},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000387},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000132}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
1386728922324294,227921413746195,"Roberto Cláudio Bezerra",2025-03-18,2025-03-18,2025-03-28,"Roberto Cláudio Bezerra","O Hospital César Cals não pode fechar! ❌🏥

Seguimos mobilizados contra o fechamento deste hospital de referência, que atende todo o Ceará e tem um papel fundamental na saúde pública. Hoje, estivemos reunidos com médicos e lideranças para cobrar transparência do governo.

A população merece mais saúde, não menos! O Ceará precisa de mais leitos e atendimento de qualidade!

#Césarcarlsfica #Saúdeeprioridade #maisleitosmaissaude aúde",,www.instagram.com,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 100, upper_bound: 199",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.024831},{""age"":""45-54"",""gender"":""female"",""percentage"":0.15619},{""age"":""65+"",""gender"":""female"",""percentage"":0.058691},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000174},{""age"":""55-64"",""gender"":""male"",""percentage"":0.031342},{""age"":""55-64"",""gender"":""female"",""percentage"":0.127974},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000608},{""age"":""45-54"",""gender"":""male"",""percentage"":0.064334},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000608},{""age"":""18-24"",""gender"":""male"",""percentage"":0.056347},{""age"":""35-44"",""gender"":""male"",""percentage"":0.106355},{""age"":""35-44"",""gender"":""female"",""percentage"":0.161226},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000347},{""age"":""25-34"",""gender"":""male"",""percentage"":0.122243},{""age"":""25-34"",""gender"":""female"",""percentage"":0.074753},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000695},{""age"":""65+"",""gender"":""male"",""percentage"":0.013284}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
1021886813136381,227921413746195,"Roberto Cláudio Bezerra",2025-03-16,2025-03-16,,"Roberto Cláudio Bezerra","Prova de 15km – Track & Field Del Paseo 🌧️🏃‍♂️

Muita chuva durante a prova, mas foi massa! Mais um desafio concluído. ✔️🔥",,www.instagram.com,,"lower_bound: 125000, upper_bound: 149999","lower_bound: 500, upper_bound: 599",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.009908},{""age"":""45-54"",""gender"":""male"",""percentage"":0.119761},{""age"":""65+"",""gender"":""male"",""percentage"":0.028805},{""age"":""65+"",""gender"":""female"",""percentage"":0.038454},{""age"":""55-64"",""gender"":""unknown"",""percentage"":9.8e-5},{""age"":""55-64"",""gender"":""male"",""percentage"":0.062367},{""age"":""55-64"",""gender"":""female"",""percentage"":0.056993},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000303},{""age"":""45-54"",""gender"":""female"",""percentage"":0.066205},{""age"":""18-24"",""gender"":""male"",""percentage"":0.090323},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000473},{""age"":""35-44"",""gender"":""male"",""percentage"":0.223358},{""age"":""35-44"",""gender"":""female"",""percentage"":0.05602},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000437},{""age"":""25-34"",""gender"":""male"",""percentage"":0.215128},{""age"":""25-34"",""gender"":""female"",""percentage"":0.030786},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000536},{""age"":""65+"",""gender"":""unknown"",""percentage"":4.5e-5}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
1420574605992199,227921413746195,"Roberto Cláudio Bezerra",2025-03-16,2025-03-16,,"Roberto Cláudio Bezerra","Prova de 15km – Track & Field Del Paseo 🌧️🏃‍♂️

Muita chuva durante a prova, mas foi massa! Mais um desafio concluído. ✔️🔥",,www.instagram.com,,"lower_bound: 60000, upper_bound: 69999","lower_bound: 500, upper_bound: 599",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.03565},{""age"":""45-54"",""gender"":""male"",""percentage"":0.04816},{""age"":""65+"",""gender"":""male"",""percentage"":0.007577},{""age"":""65+"",""gender"":""female"",""percentage"":0.017087},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000178},{""age"":""55-64"",""gender"":""male"",""percentage"":0.01635},{""age"":""55-64"",""gender"":""female"",""percentage"":0.026013},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000203},{""age"":""45-54"",""gender"":""female"",""percentage"":0.042134},{""age"":""18-24"",""gender"":""male"",""percentage"":0.166908},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001068},{""age"":""35-44"",""gender"":""male"",""percentage"":0.160399},{""age"":""35-44"",""gender"":""female"",""percentage"":0.082971},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001068},{""age"":""25-34"",""gender"":""male"",""percentage"":0.301905},{""age"":""25-34"",""gender"":""female"",""percentage"":0.091032},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001221},{""age"":""65+"",""gender"":""unknown"",""percentage"":7.6e-5}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 500001, upper_bound: 1000000",pt
2248409192228090,227921413746195,"Roberto Cláudio Bezerra",2025-03-13,2025-03-13,,"Roberto Cláudio Bezerra","Não podemos permitir o fechamento do Hospital César Cals! Um hospital referência, que salva vidas todos os dias, não pode simplesmente deixar de existir. Nossa saúde precisa ser prioridade! #SOScesarcals #abraceocesarcals",,www.instagram.com,,"lower_bound: 450000, upper_bound: 499999","lower_bound: 2000, upper_bound: 2499",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.03012},{""age"":""45-54"",""gender"":""male"",""percentage"":0.068275},{""age"":""65+"",""gender"":""male"",""percentage"":0.031279},{""age"":""65+"",""gender"":""female"",""percentage"":0.109989},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000162},{""age"":""55-64"",""gender"":""male"",""percentage"":0.050317},{""age"":""55-64"",""gender"":""female"",""percentage"":0.157956},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000249},{""age"":""45-54"",""gender"":""female"",""percentage"":0.139616},{""age"":""18-24"",""gender"":""male"",""percentage"":0.042435},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000345},{""age"":""35-44"",""gender"":""male"",""percentage"":0.090058},{""age"":""35-44"",""gender"":""female"",""percentage"":0.111664},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000359},{""age"":""25-34"",""gender"":""male"",""percentage"":0.094776},{""age"":""25-34"",""gender"":""female"",""percentage"":0.072051},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000269},{""age"":""65+"",""gender"":""unknown"",""percentage"":7.8e-5}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
2387993724868049,227921413746195,"Roberto Cláudio Bezerra",2025-03-13,2025-03-13,2025-03-18,"Roberto Cláudio Bezerra","Não podemos permitir o fechamento do Hospital César Cals! Um hospital referência, que salva vidas todos os dias, não pode simplesmente deixar de existir. Nossa saúde precisa ser prioridade! #SOScesarcals #abraceocesarcals",,www.instagram.com,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 100, upper_bound: 199",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.021756},{""age"":""45-54"",""gender"":""male"",""percentage"":0.0523},{""age"":""65+"",""gender"":""male"",""percentage"":0.004303},{""age"":""65+"",""gender"":""female"",""percentage"":0.019756},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000182},{""age"":""55-64"",""gender"":""male"",""percentage"":0.014969},{""age"":""55-64"",""gender"":""female"",""percentage"":0.070844},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000485},{""age"":""45-54"",""gender"":""female"",""percentage"":0.160596},{""age"":""18-24"",""gender"":""male"",""percentage"":0.052845},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000667},{""age"":""35-44"",""gender"":""male"",""percentage"":0.127326},{""age"":""35-44"",""gender"":""female"",""percentage"":0.225259},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000424},{""age"":""25-34"",""gender"":""male"",""percentage"":0.139689},{""age"":""25-34"",""gender"":""female"",""percentage"":0.107993},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000545},{""age"":""65+"",""gender"":""unknown"",""percentage"":6.1e-5}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
616539621373308,227921413746195,"Roberto Cláudio Bezerra",2025-03-12,2025-03-12,2025-03-19,"Roberto Cláudio Bezerra","É hora de exigir soluções novas e eficazes do governo, sem cair no conformismo. Não podemos permitir que o Ceará de amanhã se torne o Rio de Janeiro de hoje. A sociedade civil precisa se mobilizar e cobrar resultados — essa é a nossa parte.",,www.instagram.com,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 100, upper_bound: 199",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.016206},{""age"":""45-54"",""gender"":""male"",""percentage"":0.174435},{""age"":""65+"",""gender"":""male"",""percentage"":0.072294},{""age"":""65+"",""gender"":""female"",""percentage"":0.107084},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000223},{""age"":""55-64"",""gender"":""male"",""percentage"":0.126487},{""age"":""55-64"",""gender"":""female"",""percentage"":0.108162},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000297},{""age"":""45-54"",""gender"":""female"",""percentage"":0.080471},{""age"":""18-24"",""gender"":""male"",""percentage"":0.019142},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000297},{""age"":""35-44"",""gender"":""male"",""percentage"":0.159493},{""age"":""35-44"",""gender"":""female"",""percentage"":0.043525},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000186},{""age"":""25-34"",""gender"":""male"",""percentage"":0.065975},{""age"":""25-34"",""gender"":""female"",""percentage"":0.025498},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000186},{""age"":""65+"",""gender"":""unknown"",""percentage"":3.7e-5}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
2439435679724842,227921413746195,"Roberto Cláudio Bezerra",2025-03-12,2025-03-12,2025-03-15,"Roberto Cláudio Bezerra","É hora de exigir soluções novas e eficazes do governo, sem cair no conformismo. Não podemos permitir que o Ceará de amanhã se torne o Rio de Janeiro de hoje. A sociedade civil precisa se mobilizar e cobrar resultados — essa é a nossa parte.",,www.instagram.com,,"lower_bound: 7000, upper_bound: 7999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.025799},{""age"":""45-54"",""gender"":""female"",""percentage"":0.066744},{""age"":""65+"",""gender"":""female"",""percentage"":0.037949},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000166},{""age"":""55-64"",""gender"":""male"",""percentage"":0.049933},{""age"":""55-64"",""gender"":""female"",""percentage"":0.063915},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000832},{""age"":""45-54"",""gender"":""male"",""percentage"":0.109354},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.001165},{""age"":""18-24"",""gender"":""male"",""percentage"":0.109188},{""age"":""35-44"",""gender"":""male"",""percentage"":0.191744},{""age"":""35-44"",""gender"":""female"",""percentage"":0.067577},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000499},{""age"":""25-34"",""gender"":""male"",""percentage"":0.204228},{""age"":""25-34"",""gender"":""female"",""percentage"":0.050266},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001165},{""age"":""65+"",""gender"":""male"",""percentage"":0.019474}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
626415626678230,227921413746195,"Roberto Cláudio Bezerra",2025-03-08,2025-03-08,2025-03-12,"Roberto Cláudio Bezerra","Hoje é dia de celebrar todas as mulheres: mães, filhas, avós, tias, sobrinhas, esposas, companheiras e trabalhadoras. Mais que homenagem, este dia é um compromisso por mais liberdade, voz e oportunidades. Parabéns a todas!👏🏼🙏🏽",,www.instagram.com,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 100, upper_bound: 199",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.059174},{""age"":""45-54"",""gender"":""male"",""percentage"":0.048114},{""age"":""65+"",""gender"":""male"",""percentage"":0.035332},{""age"":""65+"",""gender"":""female"",""percentage"":0.212548},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000184},{""age"":""55-64"",""gender"":""male"",""percentage"":0.040371},{""age"":""55-64"",""gender"":""female"",""percentage"":0.181209},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000184},{""age"":""45-54"",""gender"":""female"",""percentage"":0.12265},{""age"":""18-24"",""gender"":""male"",""percentage"":0.047069},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000184},{""age"":""35-44"",""gender"":""male"",""percentage"":0.04713},{""age"":""35-44"",""gender"":""female"",""percentage"":0.081357},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000307},{""age"":""25-34"",""gender"":""male"",""percentage"":0.046332},{""age"":""25-34"",""gender"":""female"",""percentage"":0.077547},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000246},{""age"":""65+"",""gender"":""unknown"",""percentage"":6.1e-5}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
1360933785253295,227921413746195,"Roberto Cláudio Bezerra",2025-03-08,2025-03-08,2025-03-11,"Roberto Cláudio Bezerra","Hoje é dia de celebrar todas as mulheres: mães, filhas, avós, tias, sobrinhas, esposas, companheiras e trabalhadoras. Mais que homenagem, este dia é um compromisso por mais liberdade, voz e oportunidades. Parabéns a todas!👏🏼🙏🏽",,www.instagram.com,,"lower_bound: 10000, upper_bound: 14999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.090682},{""age"":""45-54"",""gender"":""female"",""percentage"":0.074205},{""age"":""65+"",""gender"":""male"",""percentage"":0.012273},{""age"":""65+"",""gender"":""female"",""percentage"":0.050682},{""age"":""55-64"",""gender"":""male"",""percentage"":0.023409},{""age"":""55-64"",""gender"":""female"",""percentage"":0.063636},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000455},{""age"":""45-54"",""gender"":""male"",""percentage"":0.043977},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000909},{""age"":""18-24"",""gender"":""male"",""percentage"":0.193182},{""age"":""35-44"",""gender"":""male"",""percentage"":0.085682},{""age"":""35-44"",""gender"":""female"",""percentage"":0.090909},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001477},{""age"":""25-34"",""gender"":""male"",""percentage"":0.167045},{""age"":""25-34"",""gender"":""female"",""percentage"":0.099886},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001477},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000114}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
1427007721990659,227921413746195,"Roberto Cláudio Bezerra",2025-03-06,2025-03-06,,"Roberto Cláudio Bezerra","🚨 O Ceará é o 2º estado mais pobre do Brasil em 2024, perdendo apenas para o Maranhão. A renda domiciliar aqui é uma das piores do país e a pobreza só cresce. 

Precisamos de políticas públicas que foquem na melhoria da vida do nosso povo, com mais emprego, renda e autonomia para as famílias cearenses. 

#Ceará #Pobreza #GovernoDoEstado",,www.instagram.com,,"lower_bound: 250000, upper_bound: 299999","lower_bound: 1000, upper_bound: 1499",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.01847},{""age"":""45-54"",""gender"":""male"",""percentage"":0.102472},{""age"":""65+"",""gender"":""male"",""percentage"":0.038211},{""age"":""65+"",""gender"":""female"",""percentage"":0.112521},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.000238},{""age"":""55-64"",""gender"":""male"",""percentage"":0.070282},{""age"":""55-64"",""gender"":""female"",""percentage"":0.190265},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000301},{""age"":""45-54"",""gender"":""female"",""percentage"":0.176282},{""age"":""18-24"",""gender"":""male"",""percentage"":0.012173},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000363},{""age"":""35-44"",""gender"":""male"",""percentage"":0.089397},{""age"":""35-44"",""gender"":""female"",""percentage"":0.10635},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000226},{""age"":""25-34"",""gender"":""male"",""percentage"":0.042434},{""age"":""25-34"",""gender"":""female"",""percentage"":0.03979},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000113},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.000113}","{""region"":""Cear\u00e1"",""percentage"":1}",instagram,"lower_bound: 1000001",pt
